,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
45,45,Flat glass,kg,28.5,32.2,2,http://doi.org/10.26188/5da554738e0e0,"[ 0.00563373 -0.00805762  0.00017915 ... -0.0187967  -0.02365769
 -0.02450308]",0.8078295863440348
46,46,Flat glass sheet - 3 mm,m²,222,251,15.7,http://doi.org/10.26188/5da554738e0e0,"[ 0.00246648  0.00533445 -0.00449857 ... -0.01453234 -0.01854716
 -0.02809059]",0.7657389155319416
47,47,Flat glass sheet - 4 mm,m²,296,335,21,http://doi.org/10.26188/5da554738e0e0,"[ 0.0014327   0.00575383 -0.00809091 ... -0.01751165 -0.02000015
 -0.02254131]",0.7652588714578568
48,48,Flat glass sheet - 5 mm,m²,370,418,26.2,http://doi.org/10.26188/5da554738e0e0,"[-0.00440293  0.0055896  -0.00240971 ... -0.0128584  -0.01747948
 -0.01985945]",0.7669208479086769
49,49,Flat glass sheet - 6 mm,m²,444,502,31.4,http://doi.org/10.26188/5da554738e0e0,"[ 0.00619036  0.0054022  -0.00288336 ... -0.01392421 -0.00587182
 -0.02692891]",0.7619704454239531
50,50,Flat glass sheet - 10 mm,m²,740,837,52.4,http://doi.org/10.26188/5da554738e0e0,"[ 0.00153739 -0.00949581 -0.00307808 ... -0.02097896 -0.0159777
 -0.03490352]",0.7653081842152858
51,51,Flat glass sheet - 12 mm,m²,888,1 004,62.9,http://doi.org/10.26188/5da554738e0e0,"[ 0.00185728  0.00960089 -0.01738754 ... -0.00824352 -0.01660623
 -0.02963696]",0.7651870180547916
52,52,Laminated glass,kg,36.4,59.7,2.8,http://doi.org/10.26188/5da5556225c38,"[ 0.00372368  0.01652264 -0.01327964 ... -0.02076546 -0.02221392
 -0.01662519]",0.7864119705743711
53,53,Laminated glass sheet - 6.38 mm,m²,604,991,46.8,http://doi.org/10.26188/5da5556225c38,"[ 0.01580913  0.01962869 -0.0117306  ... -0.01880004 -0.00892096
 -0.01709095]",0.7489153654760844
54,54,Laminated glass sheet - 8.38 mm,m²,794,1 302,61.4,http://doi.org/10.26188/5da5556225c38,"[ 0.00341487  0.01631043 -0.0109955  ... -0.01941842 -0.01394679
 -0.01627126]",0.7542170147920793
55,55,Laminated glass sheet - 10.38 mm,m²,983,1 613,76.1,http://doi.org/10.26188/5da5556225c38,"[ 0.01148179  0.00941067 -0.01130057 ... -0.02350725 -0.01469203
 -0.02446515]",0.7526771940822391
56,56,Laminated glass sheet - 12.38 mm,m²,1 172,1 923,90.7,http://doi.org/10.26188/5da5556225c38,"[ 0.01205408  0.02464303 -0.02413425 ... -0.01339777 -0.01488496
 -0.02042932]",0.7513993724871261
57,57,Double glazing - toughened glass,m²,1 536,1 772,115,http://doi.org/10.26188/5da553f3e04ff,"[ 0.0049346   0.0027409  -0.02011623 ... -0.01665061 -0.01470934
 -0.01693724]",0.7761743742626152
58,58,"Double glazing - toughened glass, 4:12:4",m²,1 536,1 772,115,http://doi.org/10.26188/5da553f3e04ff,"[ 0.00487705  0.00898143 -0.02805376 ... -0.01849118 -0.01713076
 -0.02376117]",0.76875059380038
59,59,"Double glazing - toughened glass, 5:6:5",m²,1 635,1 879,122,http://doi.org/10.26188/5da553f3e04ff,"[-0.00057887  0.0010516  -0.01836708 ... -0.02005225 -0.00879817
 -0.01555846]",0.7673225892467447
60,60,"Double glazing - toughened glass, 5:12:5",m²,1 635,1 879,122,http://doi.org/10.26188/5da553f3e04ff,"[-0.00699591  0.00546617 -0.0241461  ... -0.01896346 -0.00938282
 -0.01535012]",0.7689915967316491
61,61,"Double glazing - toughened glass, 6:6:6",m²,1 729,1 980,128,http://doi.org/10.26188/5da553f3e04ff,"[ 0.0108794  -0.00240267 -0.01745963 ... -0.02015483 -0.00386202
 -0.02584762]",0.7682105974521
62,62,"Double glazing - toughened glass, 6:12:6",m²,1 729,1 980,128,http://doi.org/10.26188/5da553f3e04ff,"[ 0.00696656  0.00612303 -0.02208394 ... -0.01843195 -0.0041978
 -0.02446567]",0.7689014681270938
63,63,"Double glazing - toughened glass, 10:6:6",m²,2 254,2 543,165,http://doi.org/10.26188/5da553f3e04ff,"[ 0.00993378 -0.00866829 -0.01864796 ... -0.02494263 -0.00521605
 -0.02908662]",0.7671115725088891
64,64,"Double glazing - toughened glass, 10:6:10",m²,2 779,3 107,202,http://doi.org/10.26188/5da553f3e04ff,"[ 0.01242237 -0.00951793 -0.01614451 ... -0.02731745 -0.00497811
 -0.0294369 ]",0.7652587434326729
65,65,"Double glazing - toughened glass, 10:12:6",m²,2 254,2 543,165,http://doi.org/10.26188/5da553f3e04ff,"[ 0.00716175 -0.00054547 -0.02272732 ... -0.02361263 -0.00747887
 -0.02484149]",0.7683555863021868
66,66,"Double glazing - toughened glass, 10:12:10",m²,2 779,3 107,202,http://doi.org/10.26188/5da553f3e04ff,"[ 0.00162351 -0.009756   -0.02144058 ... -0.02455293 -0.01256908
 -0.02057604]",0.7697769480525892
67,67,Toughened glass,kg,29.8,30.2,2.2,http://doi.org/10.26188/5da5589913df4,"[ 0.00473241 -0.0111205  -0.02321878 ... -0.02701253 -0.01874711
 -0.009706  ]",0.7964798388013702
68,68,Toughened glass sheet - 3 mm,m²,232,235,17.1,http://doi.org/10.26188/5da5589913df4,"[ 0.00255492 -0.00706571 -0.01856125 ... -0.02282269 -0.01795247
 -0.01602251]",0.7613823106856087
69,69,Toughened glass sheet - 4 mm,m²,310,314,22.8,http://doi.org/10.26188/5da5589913df4,"[ 0.00252801 -0.00627877 -0.0219191  ... -0.02554209 -0.01815378
 -0.00980796]",0.7628572642419489
70,70,Toughened glass sheet - 5 mm,m²,387,392,28.5,http://doi.org/10.26188/5da5589913df4,"[-0.00524725 -0.00457461 -0.0177107  ... -0.01960454 -0.01546421
 -0.00871821]",0.7631781280862024
71,71,Toughened glass sheet - 6 mm,m²,465,471,34.2,http://doi.org/10.26188/5da5589913df4,"[ 0.00594301 -0.00686503 -0.01580057 ... -0.02198622 -0.00556126
 -0.0143771 ]",0.7609252880097704
72,72,Toughened glass sheet - 10 mm,m²,775,785,56.9,http://doi.org/10.26188/5da5589913df4,"[ 0.00141014 -0.01741372 -0.01934278 ... -0.02771075 -0.01422033
 -0.020568  ]",0.7621965020722102
73,73,Toughened glass sheet - 12 mm,m²,929,942,68.3,http://doi.org/10.26188/5da5589913df4,"[ 0.00199739 -0.00064703 -0.03091393 ... -0.01522198 -0.01432119
 -0.0166319 ]",0.7622036744449704
74,74,Cellulose insulation,kg,12.1,20.5,0.79,http://doi.org/10.26188/5da5528023cab,"[-0.02198681  0.00603863 -0.01109018 ...  0.00772248 -0.03114798
 -0.01282564]",0.789091110499041
75,75,Cellulose insulation - 80 mm (R2),m²,48.3,82.1,3.1,http://doi.org/10.26188/5da5528023cab,"[-0.00307136  0.01403486 -0.00445603 ...  0.01094534 -0.02830737
 -0.02017429]",0.7640509748882992
76,76,Cellulose insulation - 100 mm (R2.5),m²,60.3,103,3.9,http://doi.org/10.26188/5da5528023cab,"[-0.00629692  0.00753806 -0.01250262 ...  0.00259793 -0.03041283
 -0.03067343]",0.7639567275862631
77,77,Aluminium foil insulation,m²,25.7,33.8,1.9,http://doi.org/10.26188/5da551d0640fa,"[-0.01271422 -0.00230869 -0.0238367  ... -0.00611374 -0.02006124
 -0.01256294]",0.7775873862909981
78,78,Glasswool insulation,kg,57.5,40.7,4,http://doi.org/10.26188/5da55494afb75,"[-0.01088591 -0.00030693 -0.00918726 ... -0.01584967 -0.01339754
 -0.01174515]",0.7808181482245317
79,79,Glasswool insulation - 80 mm (R2),m²,115,81.4,8,http://doi.org/10.26188/5da55494afb75,"[ 0.00038294  0.01202906 -0.00713005 ... -0.00579606 -0.01674932
 -0.01062556]",0.7551739294079334
80,80,Glasswool insulation - 100 mm (R2.5),m²,144,102,10.1,http://doi.org/10.26188/5da55494afb75,"[-0.00240804  0.00857804 -0.01581205 ... -0.01469203 -0.0192907
 -0.02125403]",0.7526688923172534
81,81,Rockwool insulation,kg,57.1,62.2,3.8,http://doi.org/10.26188/5da55737d3e5e,"[-0.01144132 -0.00373028 -0.02228152 ... -0.00074806 -0.01241647
 -0.00304067]",0.7744354999409628
82,82,Rockwool insulation - 80 mm (R2),m²,320,348,21.1,http://doi.org/10.26188/5da55737d3e5e,"[ 0.00017289  0.00617893 -0.01266448 ...  0.01277113 -0.01686376
 -0.00294116]",0.7530060054244007
83,83,Rockwool insulation - 100 mm (R2.5),m²,400,435,26.4,http://doi.org/10.26188/5da55737d3e5e,"[-0.00380522  0.00398673 -0.02312831 ...  0.00172274 -0.01941881
 -0.01409877]",0.7505293167588502
84,84,Polystyrene (EPS/XPS) insulation,kg,155,841,8,http://doi.org/10.26188/5da556cc242c5,"[ 0.00742482  0.01420229 -0.01344924 ... -0.00143179 -0.01658035
 -0.03569729]",0.7909034032595313
