,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
248,248,Recycled aggregate,kg,0.11,0.1,0.008,http://doi.org/10.26188/5da557263ad43,"[-0.01299218 -0.01345995 -0.00937519 ... -0.03454918 -0.01922473
 -0.00791917]",0.8040072888415596
249,249,Sand,kg,0.34,1.8,0.024,http://doi.org/10.26188/5da5574945e6e,"[ 9.93330032e-04 -2.69288830e-05  7.43027637e-03 ... -2.23310646e-02
 -1.15343640e-02 -1.68321244e-02]",0.8358715018780938
250,250,Sanitary ceramic,kg,98,89.8,6.4,http://doi.org/10.26188/5da5575bb1595,"[ 0.01680257  0.01866803  0.00719343 ... -0.00510653 -0.01950011
 -0.00937428]",0.7834175845462114
251,251,Dimension stone,kg,16.3,16.5,1.3,http://doi.org/10.26188/5da553562c7fa,"[ 0.01227804 -0.01928107  0.00857014 ... -0.01757403 -0.03775059
 -0.02757836]",0.7921780862631651
252,252,Ceramic tile,kg,18.9,15.2,1.3,http://doi.org/10.26188/5da5529e3a6be,"[ 0.00477573  0.00840528 -0.00315357 ... -0.02549601 -0.01105422
 -0.02024908]",0.8029258219662418
253,253,Clay roof tile,kg,7.5,4.7,0.61,http://doi.org/10.26188/5da552bc24123,"[-0.01043171 -0.00225689 -0.01839954 ... -0.01772396 -0.02927501
 -0.02765892]",0.7930949913140742
254,254,Cork slab,kg,179,199,9.5,http://doi.org/10.26188/5da55336dce12,"[ 0.00432948 -0.00273564 -0.00110246 ... -0.01455883 -0.03198389
 -0.01786705]",0.8044328782097339
255,255,Cork slab - 6 mm,m²,129,143,6.8,http://doi.org/10.26188/5da55336dce12,"[ 0.01092699  0.00411925 -0.00049369 ... -0.01139948 -0.01912557
 -0.0227191 ]",0.7679584913574725
256,256,Cork slab - 10 mm,m²,215,238,11.4,http://doi.org/10.26188/5da55336dce12,"[ 0.00737786 -0.01057045 -0.00050681 ... -0.01574837 -0.02708343
 -0.02902851]",0.7724093935088521
257,257,Cork slab - 12 mm,m²,258,286,13.6,http://doi.org/10.26188/5da55336dce12,"[ 0.00864887  0.00911113 -0.01176407 ... -0.00555042 -0.02837848
 -0.02655625]",0.7675214299209506
258,258,Cork slab - 20 mm,m²,430,477,22.7,http://doi.org/10.26188/5da55336dce12,"[ 0.00842388  0.00243048  0.00665748 ... -0.01164222 -0.03278557
 -0.02022   ]",0.7712525771912404
259,259,Cork slab - 50 mm,m²,1 074,1 192,56.8,http://doi.org/10.26188/5da55336dce12,"[ 0.00989766 -0.00305487 -0.01010331 ... -0.01398409 -0.03086053
 -0.01663762]",0.7675756827198068
260,260,Hardwood,m³,13 632,19 110,944,http://doi.org/10.26188/5da554ea370a5,"[ 0.00933953  0.00202025 -0.01037947 ... -0.0193017  -0.0080479
  0.00272569]",0.801036700890807
261,261,Hardwood kiln-dried - dressed,m³,41 597,58 411,2 269,http://doi.org/10.26188/5da554ea370a5,"[ 0.00676695  0.00390243  0.00750441 ... -0.00107206 -0.01952923
 -0.00355418]",0.7730407273132878
262,262,Hardwood kiln-dried - structural,m³,19 389,25 332,1 178,http://doi.org/10.26188/5da554ea370a5,"[ 0.00198383  0.01539342  0.01146667 ... -0.0037086  -0.02623289
 -0.00951692]",0.783169922601915
263,263,Cross laminated timber (CLT),m³,9 607,8 608,645,http://doi.org/10.26188/5da55346af5dc,"[-0.00737323 -0.00248724 -0.01322593 ... -0.0156378  -0.02259813
 -0.04763433]",0.8061748796952837
264,264,CLT - 60 mm,m²,576,516,38.7,http://doi.org/10.26188/5da55346af5dc,"[ 0.01623021  0.01080685 -0.01382426 ...  0.00058695 -0.00515419
 -0.0113452 ]",0.7556930554046085
265,265,CLT - 105 mm,m²,1 009,904,67.7,http://doi.org/10.26188/5da55346af5dc,"[ 0.01567955  0.01450425 -0.00703843 ...  0.01023712 -0.01399673
 -0.03290835]",0.7573311958686407
266,266,CLT - 175 mm,m²,1 681,1 506,113,http://doi.org/10.26188/5da55346af5dc,"[ 0.00355055  0.01572435 -0.00573118 ... -0.005076   -0.00765702
 -0.03473123]",0.7558574919739632
267,267,Glued laminated timber (glulam),m³,29 996,35 813,1 718,http://doi.org/10.26188/5da554a55f5a5,"[-0.01181663  0.0026327  -0.00602371 ... -0.02245952 -0.00579622
 -0.01839755]",0.7826121927980485
268,268,Glulam outdoor,m³,28 279,31 246,1 605,http://doi.org/10.26188/5da554a55f5a5,"[ 0.00056175  0.00289573 -0.01931391 ... -0.03503265  0.0102584
 -0.02261174]",0.7858090605444674
269,269,Laminated veneer lumber (LVL),m³,17 479,18 025,1 059,http://doi.org/10.26188/5da55571d9d31,"[ 0.00455855  0.01288115 -0.00743694 ... -0.01250344 -0.00989205
 -0.03193588]",0.7812479949783111
270,270,MDF sheet,m³,15 016,8 471,899,http://doi.org/10.26188/5da555b3e3bf9,"[-0.01206513  0.00831401 -0.02814979 ... -0.00851695 -0.02985187
 -0.01772782]",0.7778708104907804
271,271,Melamine-coated MDF board - 16 mm,m²,344,283,18.7,http://doi.org/10.26188/5da555b3e3bf9,"[-0.01143132  0.00100205 -0.00783184 ... -0.02158371 -0.00956566
 -0.0248272 ]",0.7493923162466808
272,272,Melamine-coated MDF board - 18 mm,m²,390,323,21.3,http://doi.org/10.26188/5da555b3e3bf9,"[-0.00897877  0.00034092 -0.00891987 ... -0.01903081 -0.00891987
 -0.02645204]",0.7471610230281976
273,273,Melamine-coated MDF board - 25 mm,m²,557,453,30.5,http://doi.org/10.26188/5da555b3e3bf9,"[-0.01331425 -0.00206132 -0.0087037  ... -0.01687039 -0.00864476
 -0.02328847]",0.7452263566570697
274,274,OSB sheet,m³,14 422,17 997,751,http://doi.org/10.26188/5da5561c22195,"[-0.00720278 -0.00095203 -0.01420549 ... -0.01752678 -0.00727615
 -0.01592616]",0.7717546076283316
275,275,Particleboard,m³,12 717,10 720,696,http://doi.org/10.26188/5da5562dbfbf9,"[-0.00670509  0.01256195 -0.01625109 ...  0.00447006 -0.01369966
 -0.03026715]",0.7965168506693434
276,276,Particleboard outdoor,m³,15 879,20 491,813,http://doi.org/10.26188/5da5562dbfbf9,"[ 0.00212951  0.01004902 -0.02144689 ... -0.01053461 -0.01158672
 -0.03523226]",0.7843915510600654
277,277,Plywood,m³,63 691,69 363,3 680,http://doi.org/10.26188/5da556748c57f,"[-0.00117427  0.00636041 -0.0003312  ... -0.00647759 -0.01781174
 -0.03189969]",0.8066945633261488
278,278,Plywood outdoor,m³,26 790,23 083,1 777,http://doi.org/10.26188/5da556748c57f,"[ 0.00287318  0.00526528 -0.01127375 ... -0.01327767 -0.00686113
 -0.03604414]",0.7811802967485707
279,279,Structural insulated panel (SIP),m²,2 624,4 219,135,http://doi.org/10.26188/5da5586fec593,"[-0.00979467  0.00969445  0.00206784 ... -0.01870742 -0.03658637
 -0.02286314]",0.7950616876309078
280,280,SIP - 142 mm,m²,3 327,5 349,171,http://doi.org/10.26188/5da5586fec593,"[ 0.00539022  0.0187983  -0.00377765 ... -0.0038965  -0.02046869
 -0.02058433]",0.761913078974487
281,281,SIP - 162 mm,m²,3 795,6 103,195,http://doi.org/10.26188/5da5586fec593,"[ 0.00351904  0.02378024  0.00518287 ... -0.01441345 -0.02066663
 -0.0202904 ]",0.7635143411124135
282,282,Softwood,m³,9 392,13 091,549,http://doi.org/10.26188/5da5578416cc9,"[ 0.00360815 -0.01139206 -0.00933405 ...  0.00163977 -0.0232621
 -0.00987179]",0.7838712078191603
283,283,Softwood kiln-dried,m³,9 704,13 181,583,http://doi.org/10.26188/5da5578416cc9,"[ 0.00211182 -0.00996565  0.00560941 ...  0.00352743 -0.03018207
 -0.01177578]",0.7671580992814557
