Name,Category,Category,Locked,Deletable,Id,Family and Type,Family,Type,Family Name,Type Id,PLR_Asset_Name,PLR_Location_Code,PLR_Instance_Number,PLR_Parent_Uniclass_ID,PLR_Parent_Uniclass_Descr.,Image,Keynote,Design Option,Design Option,Model,Manufacturer,Comments,URL,Description,Assembly Description,Assembly Code,Edited by,Workset,Type Name,Cost,Mark,Properties,Subclass,Class,Grade,Species,Thermal expansion coefficient,Bending,Shear modulus,Poisson ratio,Tension perpendicular to grain,Shear parallel to grain,Compression perpendicular to grain,Compression parallel to grain,Young modulus,Material Type,Name,Lightweight,Behavior,Resistance calculation strength,Reduction factor for shear,Minimum tensile strength,Minimum yield stress,Shear strength modification,Shear reinforcement yield stress,Bending reinforcement,Concrete compression,Thermal expansion coefficient Z,Thermal expansion coefficient Y,Thermal expansion coefficient X,Unit weight,Shear modulus Z,Shear modulus Y,Shear modulus X,Poisson ratio Z,Poisson ratio Y,Poisson ratio X,Young modulus Z,Young modulus Y,Young modulus X,Shininess,Smoothness,Glow,Transparency,Color,Phase Demolished,Phase Created
COX - MC - Metal Cladding,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,529,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,MC,Revit Element : <None>,Main Model,,,,,METAL CLADDING,,,,10,,0,MC,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - MC - Metal Cladding,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"247,247,247",Revit Element : <None>,Revit Element : <None>
Metal - Sheet / Flashing,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,530,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Metal Flashing,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Metal - Sheet / Flashing,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"247,247,247",Revit Element : <None>,Revit Element : <None>
Roofing - Metal,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,531,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Metal Roofing,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Roofing - Metal,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"247,247,247",Revit Element : <None>,Revit Element : <None>
COX - MS- Mild Steel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,532,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,MS,Revit Element : <None>,Main Model,,,,,MILD STEEL,,,,10,,0,MS,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - MS- Mild Steel,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"247,247,247",Revit Element : <None>,Revit Element : <None>
COX - TM - Timber,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,539,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,TM,Revit Element : <None>,Main Model,,,,,TIMBER,,,,10,,0,TM,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - TM - Timber,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"212,179,113",Revit Element : <None>,Revit Element : <None>
COX - PC - Precast Concrete,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,547,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,PC,Revit Element : <None>,Main Model,,,,,PRECAST CONCRETE,,,,10,,0,PC,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - PC - Precast Concrete,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"189,189,189",Revit Element : <None>,Revit Element : <None>
COX - MDF - Medium Density Fibreboard,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,556,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,MDF,Revit Element : <None>,Main Model,,,,,MEDIUM DENSITY FIBREBOARD,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - MDF - Medium Density Fibreboard,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Metal - Copper,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,557,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Copper,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Metal - Copper,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"139,237,147",Revit Element : <None>,Revit Element : <None>
Default Floor,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,758,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT FLOOR,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Floor,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"222,224,199",Revit Element : <None>,Revit Element : <None>
Structure - Timber Joist/Rafter Layer,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,788,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Structure - Timber Joist/Rafter Layer,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Roofing - EPDM Membrane,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,792,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,EPDM,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Roofing - EPDM Membrane,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
COX - VS - Vinyl Sheeting,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,794,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,VS,Revit Element : <None>,Main Model,,,,,VINYL SHEETING,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - VS - Vinyl Sheeting,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"248,213,177",Revit Element : <None>,Revit Element : <None>
COX - CTF - Ceramic Tile Floor 200mm,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,812,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FLR-403,Revit Element : <None>,Main Model,,,,,CERAMIC TILE FLOOR,,,,10,,0,CTF2,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CTF - Ceramic Tile Floor 200mm,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"229,219,210",Revit Element : <None>,Revit Element : <None>
